ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_beneish_tata,c_receivables_growth_spread,c_beneish_dsri,c_deferred_revenue_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_working_capital_swing_to_income,c_sbc_to_revenue,c_sbc_to_cfo,c_diluted_share_growth,c_net_share_count_change,c_buyback_offset_ratio,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_incremental_revenue_per_capex,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_asset_quality_proxy,c_intangibles_to_assets,c_adjustment_recurrence_ratio,c_recurring_adjustment_terms,c_kpi_removals,c_disclosure_volume_change,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
DDOG,hypergrowth_saas,Software,2025-03-16,ok,2024-12-31,8,29.2,18.8,44.7,12.0,,67.2,20.3,16.9,,12.3,28.4,,15.9,55.1,45.0,20.0,50.8,10.0,10.0,10.0,20.0,,,,77.2,54.8,,,,,25.0,20.0,25.2,10.0,,,15.0,,,20.0,15.0,,,,,0.10689905627445939,0.12384346298739546,0.08254965085060961,-0.002915576121155259,-0.01820769486083229,-0.4138775510204082,0
DDOG,hypergrowth_saas,Software,2025-06-14,ok,2025-03-31,8,26.3,18.5,25.5,12.0,,67.6,22.6,16.9,,12.4,27.8,,14.9,20.0,20.0,42.6,25.0,10.0,10.0,10.0,20.0,,,,77.4,55.3,,,,,32.9,20.0,25.0,10.0,,,15.0,,,20.0,15.0,,,,,0.005483991282346556,0.029027963991399064,0.6151537319986029,0.023588996883142272,-0.0294182621134933,-0.18176169303997924,0
CRWD,hypergrowth_saas,Software,2021-06-14,ok,2021-04-30,8,29.2,13.2,24.7,15.0,,54.7,43.7,40.3,,10.0,17.6,,12.0,20.0,20.0,38.7,25.0,,,10.0,20.0,,,,69.9,35.7,,,,,77.4,,25.0,21.9,,90.0,21.4,30.6,23.1,22.6,22.6,,,,,0.034213603753043165,-0.26369946369644137,-0.23174686692369129,0.05455185170817327,-0.020601403353359082,-0.12871712021002676,0
CRWD,hypergrowth_saas,Software,2021-09-13,ok,2021-07-31,8,40.4,22.6,40.7,47.5,,71.1,25.6,39.4,,10.0,44.0,,12.0,52.8,41.9,33.9,25.0,,,10.0,85.0,,,,78.9,61.5,,,,,29.0,,25.0,22.3,,90.0,22.8,28.6,20.0,21.3,20.8,,,,,-0.2756795426831813,-0.21918619145196006,-0.1656812695026082,0.050106664711843496,-0.02642938668449507,0.08112426035502959,0
CRWD,hypergrowth_saas,Software,2021-12-14,ok,2021-10-31,8,29.2,18.0,24.7,21.9,,54.1,25.5,39.9,,10.0,31.3,,12.0,20.0,20.0,38.6,25.0,,,10.0,33.8,,,,79.2,50.4,26.4,,,,25.0,,26.8,24.9,,90.0,24.0,27.4,24.2,21.1,19.8,,,,,0.011020230476401105,0.003287938720192729,-0.2682446501926916,0.008812072659861114,-0.03404173083958206,0.17233174711080898,0
CRWD,hypergrowth_saas,Software,2022-03-16,ok,2022-01-31,8,36.1,19.6,48.0,23.8,,66.6,28.6,39.5,,10.0,35.7,,12.0,55.9,44.3,30.2,56.3,,,10.0,37.7,,,,77.2,53.3,,,,,25.0,,36.0,25.5,,90.0,25.1,25.4,20.2,21.7,20.2,,,,,-0.00663706871361569,0.040842207132767316,-0.21136117392254972,-0.04188873745546754,-0.006696219280554139,0.2155668781037792,0
CRWD,hypergrowth_saas,Software,2022-06-14,ok,2022-04-30,8,33.4,17.2,25.1,22.8,,62.4,48.4,39.5,,10.0,28.9,,12.0,20.0,20.0,40.4,25.0,,,10.0,35.6,,,,76.5,44.7,,,,,75.5,,34.5,29.7,,90.0,25.1,24.3,24.3,20.5,19.1,,,,,0.09602780022446167,-0.3245388965303735,-0.2004376669451613,0.020865165686638164,0.01313157154077682,0.15980251828327333,0
CRWD,hypergrowth_saas,Software,2022-09-13,ok,2022-07-31,8,36.0,17.5,28.9,43.7,,56.5,39.1,38.9,,10.0,29.7,,12.0,29.4,25.7,35.9,25.0,,,10.0,77.5,,,,81.9,56.7,24.5,,,,39.1,,42.8,35.6,,90.0,25.4,22.8,22.7,20.0,17.7,,,,,-0.37725319991271866,-0.29875384299388963,-0.24000725516089105,0.06925554127366718,0.006729297336374562,0.45840919335671093,0
CRWD,hypergrowth_saas,Software,2022-12-14,ok,2022-10-31,8,32.6,16.6,38.6,23.2,,54.9,34.8,38.9,,10.0,27.2,,12.0,38.3,31.3,34.7,52.2,,,10.0,36.4,,,,81.2,53.1,24.0,,,,25.0,,41.5,40.0,,90.0,26.1,21.6,23.8,20.0,17.0,,,,,0.11942190896972016,0.17302845698952662,0.9586617576720999,0.10115570467235216,0.015804211167581683,0.9378678986995209,0
CRWD,hypergrowth_saas,Software,2023-03-16,ok,2023-01-31,8,35.6,16.4,53.5,15.0,,67.8,36.2,38.2,,10.0,26.7,,12.0,60.5,47.6,24.9,77.2,,,10.0,20.0,,,,80.9,51.5,,,,,25.0,,43.2,42.8,,90.0,26.6,19.7,20.9,20.0,15.4,,,,,0.07526850999077528,0.10740640345941133,1.0860798073142195,0.11130733001399809,0.009096943954741088,1.4028801053295663,0
