ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_receivables_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_diluted_share_growth,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_kpi_removals,c_disclosure_volume_change,c_risk_factor_expansion,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
CRWD,hypergrowth_saas,Software,2022-12-14,ok,2022-10-31,8,34.6,16.3,43.6,27.9,,24.0,52.7,48.1,,10.0,23.8,,35.4,58.0,,10.0,45.7,,,24.0,,62.0,,41.5,,90.0,26.1,21.6,23.8,,,,0.1194215125089777,0.17302785854386404,0.9586615334025412,0.10115570467235216,0.015804211167581683,0.9378678986995209,0
CRWD,hypergrowth_saas,Software,2023-03-16,ok,2023-01-31,8,35.1,16.3,48.8,21.4,,,54.9,47.4,,10.0,23.8,,38.5,66.7,,10.0,32.7,,,,,64.7,,43.2,,90.0,26.6,19.7,20.9,,,,0.07526840981669203,0.10740614051002395,1.086079675414611,0.11130733001399809,0.009096943954741088,1.4028801053295663,0
CRWD,hypergrowth_saas,Software,2023-06-14,ok,2023-04-30,8,26.8,17.1,21.8,20.0,,,30.3,48.5,,10.0,25.7,,20.0,25.0,,10.0,29.9,,,,,25.0,,36.7,,90.0,25.8,19.4,28.4,,,,0.07494995862661025,0.5530248136670304,1.243947457403832,0.03562271183463678,0.010759884431173428,1.7703948200251545,0
CRWD,hypergrowth_saas,Software,2023-09-13,ok,2023-07-31,8,28.5,28.9,21.8,20.9,,24.8,25.0,47.5,,10.0,51.7,,20.0,25.0,,10.0,31.9,,,24.8,,25.0,,25.0,,90.0,25.2,18.4,25.0,,,,0.4322761199402094,0.7883982172810207,0.2618591038612934,0.03518203308876336,0.012802123652292219,2.66795295847115,0
CRWD,hypergrowth_saas,Software,2023-12-14,ok,2023-10-31,8,30.1,34.9,21.8,21.0,,25.1,25.0,48.0,,10.0,64.7,,20.0,25.0,,10.0,32.0,,,25.1,,25.0,,25.0,,90.0,26.5,17.7,26.5,,,,0.17627926323468923,0.377755168659774,0.2334019602134645,-0.05918566693735539,-0.008278354348662642,11.173689525383274,0
CRWD,hypergrowth_saas,Software,2024-03-15,ok,2024-01-31,8,28.3,38.2,28.2,16.0,,,25.0,32.7,,10.0,72.1,,23.0,37.2,10.0,10.0,32.3,,,,,25.0,,25.0,,51.1,26.0,16.2,22.2,,,,0.15645402887103277,-0.2590976858208007,0.06501344378207863,-0.0915932597133235,-0.0359135034598243,-1.1711079943899019,0
CRWD,hypergrowth_saas,Software,2024-06-14,ok,2024-04-30,8,31.1,31.0,44.7,15.4,,,25.0,47.4,,10.0,56.1,,36.2,59.6,10.0,10.0,30.2,,,,,25.0,,25.0,,89.0,25.4,15.9,28.4,,,,-0.345477858005275,-0.16537583417161195,0.14402078500447257,-0.11511569839930218,-0.06324956146823996,-2.3790512058599957,0
CRWD,hypergrowth_saas,Software,2024-09-13,ok,2024-07-31,8,22.1,24.9,21.8,15.5,,23.3,25.0,22.5,,10.0,42.8,,20.0,25.0,10.0,10.0,30.7,,,23.3,,25.0,,25.0,,,24.0,15.3,27.3,,,,0.33188949538149415,0.39674972875894543,0.5317083416512856,-0.10438492727359593,-0.0778374633322772,-2.793907030698145,0
CRWD,hypergrowth_saas,Software,2024-12-14,ok,2024-10-31,8,30.2,19.1,42.5,20.2,,20.0,60.5,22.3,,10.0,29.9,,33.6,58.2,10.0,10.0,48.2,,,20.0,,90.0,,25.0,,,24.6,15.0,26.2,,,,0.01554478835575046,0.23839526849203485,0.10103053504823967,-0.0011020257303465397,-0.056443677918855184,-3.6528216419122557,0
CRWD,hypergrowth_saas,Software,2025-03-16,ok,2025-01-31,8,30.9,20.0,34.8,37.3,,,43.1,22.6,,10.0,31.9,,25.9,50.5,,10.0,64.6,,,,,55.3,,28.4,,,26.0,15.0,25.0,,,,0.24816606413706954,0.04902692035149703,0.014626563089426003,0.0873375984659418,-0.015749574710642922,-10.753939201018621,0
CRWD,hypergrowth_saas,Software,2025-06-14,ok,2025-04-30,8,29.7,13.4,21.8,40.2,,,50.9,23.4,,10.0,17.5,,20.0,25.0,,10.0,70.3,,,,,61.4,,38.4,,,24.8,15.0,29.9,,,,-0.1701245409908979,-0.1191298126171827,0.18110836055179313,0.0855012147244938,0.028596637371511413,0.901897901659881,0
NET,hypergrowth_saas,Software,2021-06-14,ok,2021-03-31,8,39.7,12.3,47.7,49.8,,,42.6,57.9,,10.0,15.0,,43.2,55.7,,79.5,20.0,,,,,57.0,37.3,29.6,,90.0,15.0,,,,,,0.25027810679102047,0.3547158040609564,-0.4585577852085281,0.037744182448852,-0.013240049197132453,-1.0675661797814942,0
