ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
EMR,EMERSON ELECTRIC CO.,3600,ok,0.843,30.9,positive,2,Balance Sheet Stress,57.2,intangibles_to_assets;asset_quality_proxy
EQNR,,,error: Could not establish at least 2 quarter-end dates for EQNR; the filer may use cus,,,,,,,
AEM,AGNICO EAGLE MINES LIMITED,1040,ok,0.639,19.7,positive,1,Capital Integrity,29.9,buyback_offset_ratio
ITW,ILLINOIS TOOL WORKS INC,3560,ok,0.917,37.7,mixed,2,Cash Conversion,49.9,net_debt_to_ebitda;fcf_margin_trend
MPC,MARATHON PETROLEUM CORPORATION,2911,ok,0.898,40.4,mixed,2,Revenue Quality,70.2,net_debt_to_ebitda;receivables_growth_spread
AMT,AMERICAN TOWER CORP /MA/,6798,excluded_financial,0.87,,,,,,
AMX,,,error: Could not establish at least 2 quarter-end dates for AMX; the filer may use cust,,,,,,,
ORLY,O Reilly Automotive Inc,5531,ok,0.889,27.9,positive,2,Balance Sheet Stress,47.4,net_debt_to_ebitda;current_ratio
CP,,,error: Could not establish at least 2 quarter-end dates for CP; the filer may use custo,,,,,,,
MDLZ,"Mondelez International, Inc.",2000,ok,0.917,42.0,mixed,6,Cash Conversion,64.6,net_debt_to_ebitda;current_ratio;fcf_margin_trend;fcf_to_net_income;asset_quality_proxy;buyback_offset_ratio
HLT,Hilton Worldwide Holdings Inc.,7011,ok,0.815,29.2,positive,4,Balance Sheet Stress,72.8,net_debt_to_ebitda;asset_quality_proxy;debt_to_assets;current_ratio
FDX,FedEx Corporation,4513,ok,0.815,31.9,positive,2,Balance Sheet Stress,50.0,net_debt_to_ebitda;buyback_offset_ratio
CVNA,CARVANA CO.,5500,ok,0.815,38.8,mixed,2,Cash Conversion,73.1,cfo_to_net_income;fcf_to_net_income
MDLN,Medline Inc.,3841,ok,0.568,28.9,positive,2,Balance Sheet Stress,56.3,net_debt_to_ebitda;buyback_offset_ratio
ALAB,"Astera Labs, Inc.",3674,ok,0.741,38.8,mixed,4,Revenue Quality,79.9,receivables_growth_spread;fcf_margin_trend;dso_trend;beneish_dsri
CL,COLGATE-PALMOLIVE COMPANY,2844,ok,0.917,33.4,mixed,2,Balance Sheet Stress,45.5,net_debt_to_ebitda;fcf_margin_trend
NOC,NORTHROP GRUMMAN CORP /DE/,3812,ok,0.833,58.4,negative,8,Cash Conversion,88.8,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;receivables_growth_spread;fcf_margin_trend;fcf_margin;beneish_dsri;accrual_trend
AEP,"American Electric Power Company, Inc.",4911,ok,0.699,43.5,mixed,5,Balance Sheet Stress,64.1,capex_intensity_regime_shift;fcf_margin_trend;current_ratio;incremental_revenue_per_capex;interest_coverage
AON,Aon plc,6411,excluded_financial,0.843,,,,,,
TDG,TransDigm Group Incorporated,3728,ok,0.917,43.9,mixed,7,Cash Conversion,79.5,net_debt_to_ebitda;cfo_to_net_income;fcf_margin_trend;fcf_to_net_income;debt_to_assets;intangibles_to_assets;interest_coverage
CI,The Cigna Group,6324,excluded_financial,0.88,,,,,,
BAESY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0000895564.,,,,,,,
INTU,INTUIT INC.,7372,ok,0.852,18.4,positive,1,Balance Sheet Stress,28.9,deferred_revenue_growth_spread
CNI,,,error: Could not establish at least 2 quarter-end dates for CNI; the filer may use cust,,,,,,,
BAM,BROOKFIELD ASSET MANAGEMENT LTD.,6282,excluded_financial,0.264,,,,,,
COHR,COHERENT CORP.,3827,ok,0.815,52.3,negative,7,Cash Conversion,88.8,cfo_to_net_income;dio_trend;fcf_to_net_income;fcf_margin_trend;capex_to_da;fcf_margin;capex_growth_spread
NOK,,,error: Could not establish at least 2 quarter-end dates for NOK; the filer may use cust,,,,,,,
HONA,,,error: Could not establish at least 2 quarter-end dates for HONA; the filer may use cus,,,,,,,
ICE,"INTERCONTINENTAL EXCHANGE, INC.",6200,excluded_financial,0.843,,,,,,
NSC,NORFOLK SOUTHERN CORP,4011,ok,0.731,46.1,negative,4,Cash Conversion,76.4,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex
NWG,,,error: Could not establish at least 2 quarter-end dates for NWG; the filer may use cust,,,,,,,
TRV,"Travelers Companies, Inc.",6331,excluded_financial,0.509,,,,,,
KMI,"KINDER MORGAN, INC.",4922,ok,0.727,36.2,mixed,3,Balance Sheet Stress,61.4,net_debt_to_ebitda;current_ratio;incremental_revenue_per_capex
NXPI,NXP Semiconductors N.V.,3674,ok,0.889,36.4,mixed,0,Revenue Quality,49.3,
CRH,CRH public limited company,3241,ok,0.894,45.8,negative,2,Revenue Quality,61.3,net_debt_to_ebitda;interest_coverage
HON,Honeywell International Inc,3724,ok,0.935,53.2,negative,7,Cash Conversion,88.6,cfo_to_net_income;capex_growth_spread;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;fcf_margin;incremental_revenue_per_capex
PSX,Phillips 66,2911,ok,0.731,61.5,negative,3,Cash Conversion,95.0,cfo_to_net_income;inventory_growth_spread;receivables_growth_spread
CTAS,Cintas Corporation,2320,ok,0.912,25.1,positive,0,Balance Sheet Stress,35.6,
URI,"United Rentals, Inc.",7359,ok,0.829,30.2,positive,2,Balance Sheet Stress,61.5,net_debt_to_ebitda;dso_trend
MSI,"MOTOROLA SOLUTIONS, INC.",3663,ok,0.977,39.3,mixed,4,Working Capital Stress,78.4,net_debt_to_ebitda;fcf_margin_trend;dio_trend;inventory_growth_spread
EOG,"EOG RESOURCES, INC.",1311,ok,0.731,22.7,positive,0,Revenue Quality,44.6,
TRP,,,error: Could not establish at least 2 quarter-end dates for TRP; the filer may use cust,,,,,,,
GM,GENERAL MOTORS COMPANY,3711,ok,0.662,43.7,mixed,3,Revenue Quality,64.6,incremental_revenue_per_capex;receivables_growth_spread;fcf_margin_trend
APO,"APOLLO GLOBAL MANAGEMENT, INC.",6282,excluded_financial,0.444,,,,,,
ROST,"Ross Stores, Inc.",5651,ok,0.806,29.7,positive,1,Revenue Quality,56.3,receivables_growth_spread
APD,"AIR PRODUCTS AND CHEMICALS, INC.",2810,ok,0.87,31.1,positive,2,Capex Discipline,47.4,fcf_to_net_income;incremental_revenue_per_capex
MFC,,,error: Could not establish at least 2 quarter-end dates for MFC; the filer may use cust,,,,,,,
SLB,SLB LIMITED/NV,1389,ok,0.694,45.5,negative,3,Cash Conversion,72.1,fcf_margin_trend;fcf_to_net_income;incremental_revenue_per_capex
WBD,"Warner Bros. Discovery, Inc.",4841,ok,0.843,44.2,mixed,6,Cash Conversion,77.9,interest_coverage;asset_quality_proxy;fcf_margin_trend;incremental_revenue_per_capex;current_ratio;fcf_margin
TER,"TERADYNE, INC.",3825,ok,0.88,39.1,mixed,1,Revenue Quality,63.0,dso_trend
E,,,error: Could not establish at least 2 quarter-end dates for E; the filer may use custom,,,,,,,
RSG,"REPUBLIC SERVICES, INC.",4953,ok,0.944,31.9,positive,3,Balance Sheet Stress,62.3,net_debt_to_ebitda;incremental_revenue_per_capex;current_ratio
RACE,,,error: Could not establish at least 2 quarter-end dates for RACE; the filer may use cus,,,,,,,
FIX,"COMFORT SYSTEMS USA, INC.",1731,ok,0.917,30.0,positive,1,Cash Conversion,38.5,capex_to_da
ET,ENERGY TRANSFER LP,4922,ok,0.843,32.8,mixed,2,Revenue Quality,63.1,net_debt_to_ebitda;receivables_growth_spread
REGN,"REGENERON PHARMACEUTICALS, INC.",2834,ok,0.88,26.7,positive,0,Capex Discipline,35.4,
MPWR,MONOLITHIC POWER SYSTEMS INC,3674,ok,0.847,31.1,positive,1,Capex Discipline,53.7,capex_to_da
CIEN,Ciena Corp,3661,ok,0.991,26.4,positive,1,Earnings Quality,33.0,deferred_revenue_growth_spread
NU,,,error: Could not establish at least 2 quarter-end dates for NU; the filer may use custo,,,,,,,
DB,,,error: Could not establish at least 2 quarter-end dates for DB; the filer may use custo,,,,,,,
UMC,,,error: Could not establish at least 2 quarter-end dates for UMC; the filer may use cust,,,,,,,
DLR,"DIGITAL REALTY TRUST, INC.",6798,excluded_financial,0.463,,,,,,
BSX,BOSTON SCIENTIFIC CORP,3841,ok,0.912,45.4,negative,6,Cash Conversion,78.9,net_debt_to_ebitda;cfo_to_net_income;fcf_margin_trend;fcf_to_net_income;asset_quality_proxy;intangibles_to_assets
PCAR,PACCAR Inc,3711,ok,0.454,26.7,positive,1,Capex Discipline,39.2,incremental_revenue_per_capex
NKE,"NIKE, Inc.",3021,ok,0.764,34.8,mixed,2,Cash Conversion,55.0,incremental_revenue_per_capex;buyback_offset_ratio
VALE,VALE S.A.,1000,ok,0.713,30.3,positive,2,Capex Discipline,59.3,incremental_revenue_per_capex;capex_to_da
TFC,TRUIST FINANCIAL CORP,6021,excluded_financial,0.403,,,,,,
SU,,,error: Could not establish at least 2 quarter-end dates for SU; the filer may use custo,,,,,,,
GWW,"W.W. GRAINGER, INC.",5000,ok,0.843,26.4,positive,0,Capex Discipline,47.9,
STM,STMicroelectronics N.V.,3674,ok,0.444,,mixed,0,Balance Sheet Stress,17.1,
ALL,ALLSTATE CORP,6331,excluded_financial,0.481,,,,,,
SE,Sea Limited,7380,ok,0.463,,mixed,0,Balance Sheet Stress,22.0,
RKLB,Rocket Lab Corp,3760,ok,0.926,48.6,negative,6,Revenue Quality,67.7,receivables_growth_spread;interest_coverage;beneish_dsri;fcf_margin;capex_to_da;working_capital_swing_to_income
LITE,Lumentum Holdings Inc.,3669,ok,0.796,34.3,mixed,5,Capital Integrity,57.0,net_debt_to_ebitda;diluted_share_growth;debt_to_assets;net_share_count_change;capex_to_da
AJG,ARTHUR J. GALLAGHER & CO.,6411,excluded_financial,0.713,,,,,,
B,BARRICK MINING CORP,1040,ok,0.395,,mixed,0,Balance Sheet Stress,20.1,
DAL,"Delta Air Lines, Inc.",4512,ok,0.694,38.8,mixed,4,Revenue Quality,70.7,net_debt_to_ebitda;receivables_growth_spread;current_ratio;beneish_dsri
AFL,AFLAC INC,6321,excluded_financial,0.407,,,,,,
CARR,CARRIER GLOBAL CORPORATION,3585,ok,0.88,44.7,mixed,6,Cash Conversion,79.9,fcf_to_net_income;net_debt_to_ebitda;cfo_to_net_income;fcf_margin_trend;asset_quality_proxy;intangibles_to_assets
SRE,SEMPRA,4932,ok,0.796,35.2,mixed,5,Capex Discipline,66.5,fcf_to_net_income;capex_intensity_regime_shift;incremental_revenue_per_capex;fcf_margin;capex_to_da
D,"DOMINION ENERGY, INC",4911,ok,0.708,27.8,positive,2,Balance Sheet Stress,59.2,net_debt_to_ebitda;current_ratio
TGT,TARGET CORPORATION,5331,ok,0.824,43.2,mixed,3,Cash Conversion,63.2,fcf_to_net_income;net_debt_to_ebitda;buyback_offset_ratio
TEL,TE CONNECTIVITY PLC,5065,ok,0.926,30.4,positive,0,Balance Sheet Stress,37.8,
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,3570,ok,0.88,33.4,mixed,1,Balance Sheet Stress,55.9,net_debt_to_ebitda
NBIS,NEBIUS GROUP N.V.,7370,ok,0.398,,mixed,1,Balance Sheet Stress,22.9,net_share_count_change
O,REALTY INCOME CORP,6798,excluded_financial,0.491,,,,,,
KEYS,"KEYSIGHT TECHNOLOGIES, INC.",3823,ok,0.954,22.4,positive,0,Revenue Quality,31.8,
ARGX,,,error: Could not establish at least 2 quarter-end dates for ARGX; the filer may use cus,,,,,,,
MPLX,MPLX LP,4610,ok,0.75,39.8,mixed,5,Capex Discipline,56.6,net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;capex_intensity_regime_shift;debt_to_assets
PSA,Public Storage,6798,excluded_financial,0.523,,,,,,
FLEX,FLEX LTD.,3672,ok,0.931,31.5,positive,1,Revenue Quality,51.5,working_capital_swing_to_income
MET,"MetLife, Inc.",6311,excluded_financial,0.481,,,,,,
COR,"CENCORA, INC.",5122,ok,0.87,35.3,mixed,1,Balance Sheet Stress,54.1,net_debt_to_ebitda
CTVA,"Corteva, Inc.",100,ok,0.806,57.1,negative,9,Cash Conversion,88.8,cfo_to_net_income;fcf_to_net_income;accrual_trend;deferred_revenue_growth_spread;fcf_margin_trend;working_capital_swing_to_income;fcf_margin;beneish_tata;total_accruals
CAH,"Cardinal Health, Inc.",5122,ok,0.917,29.0,positive,1,Balance Sheet Stress,45.3,net_debt_to_ebitda
TRGP,TARGA RESOURCES CORP.,4922,ok,0.806,42.4,mixed,6,Balance Sheet Stress,57.2,fcf_to_net_income;net_debt_to_ebitda;incremental_revenue_per_capex;fcf_margin_trend;debt_to_assets;current_ratio
IMO,,,error: Could not establish at least 2 quarter-end dates for IMO; the filer may use cust,,,,,,,
RELX,,,error: Could not establish at least 2 quarter-end dates for RELX; the filer may use cus,,,,,,,
FAST,FASTENAL CO,5200,ok,0.815,24.3,positive,0,Revenue Quality,36.2,
AME,"AMETEK, Inc.",3823,ok,0.954,28.6,positive,2,Balance Sheet Stress,44.4,intangibles_to_assets;asset_quality_proxy
F,Ford Motor Co,3711,ok,0.787,46.1,negative,3,Cash Conversion,79.5,fcf_to_net_income;fcf_margin_trend;cfo_to_net_income
LHX,"L3HARRIS TECHNOLOGIES, INC.",3812,ok,0.921,58.9,negative,10,Cash Conversion,86.1,cfo_to_net_income;beneish_dsri;fcf_to_net_income;net_debt_to_ebitda;inventory_growth_spread;receivables_growth_spread;beneish_m_score;fcf_margin_trend;working_capital_swing_to_income;asset_quality_proxy
TRMOY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002071881.,,,,,,,
OKE,ONEOK INC /NEW/,4923,ok,0.847,44.8,mixed,4,Balance Sheet Stress,56.1,net_debt_to_ebitda;fcf_to_net_income;fcf_margin_trend;current_ratio
LSEGY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0001842726.,,,,,,,
ROK,"Rockwell Automation, Inc.",3829,ok,0.907,31.7,positive,1,Balance Sheet Stress,50.1,net_debt_to_ebitda
BKR,Baker Hughes Co,3533,ok,0.806,43.1,mixed,6,Cash Conversion,73.4,leverage_change;fcf_to_net_income;fcf_margin_trend;incremental_revenue_per_capex;cfo_to_net_income;buyback_offset_ratio
EW,EDWARDS LIFESCIENCES CORPORATION,3842,ok,0.88,42.1,mixed,4,Cash Conversion,84.3,cfo_to_net_income;fcf_to_net_income;fcf_margin_trend;sbc_to_cfo
ETR,ENTERGY CORP /DE/,4911,ok,0.727,49.9,negative,9,Balance Sheet Stress,73.0,fcf_to_net_income;net_debt_to_ebitda;capex_intensity_regime_shift;asset_quality_proxy;fcf_margin_trend;interest_coverage;incremental_revenue_per_capex;fcf_margin;capex_to_da
AZO,AUTOZONE INC,5531,ok,0.806,33.3,mixed,1,Balance Sheet Stress,54.8,net_debt_to_ebitda
EONGY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0001136808.,,,,,,,
FITB,Fifth Third Bancorp,6022,excluded_financial,0.519,,,,,,
GALDY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002021390.,,,,,,,
VST,Vistra Corp.,4911,ok,0.87,37.2,mixed,3,Balance Sheet Stress,51.5,net_debt_to_ebitda;fcf_margin_trend;fcf_to_net_income
EA,ELECTRONIC ARTS INC.,7372,ok,0.824,33.4,mixed,2,Balance Sheet Stress,59.9,asset_quality_proxy;buyback_offset_ratio
GWLIF,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0000850918.,,,,,,,
LNG,"CHENIERE ENERGY, INC.",4924,ok,0.852,40.0,mixed,4,Balance Sheet Stress,65.7,interest_coverage;deferred_revenue_growth_spread;fcf_margin_trend;current_ratio
WPM,,,error: Could not establish at least 2 quarter-end dates for WPM; the filer may use cust,,,,,,,
TAK,,,error: Could not establish at least 2 quarter-end dates for TAK; the filer may use cust,,,,,,,
HEI,HEICO CORPORATION,3724,ok,0.861,26.8,positive,3,Balance Sheet Stress,49.1,net_debt_to_ebitda;intangibles_to_assets;asset_quality_proxy
NUE,NUCOR CORPORATION,3312,ok,0.88,30.0,positive,1,Cash Conversion,39.6,fcf_to_net_income
XEL,XCEL ENERGY INC,4931,ok,0.731,37.9,mixed,5,Balance Sheet Stress,62.9,fcf_to_net_income;net_debt_to_ebitda;capex_to_da;interest_coverage;current_ratio
EBAY,eBay Inc.,7389,ok,0.903,24.2,positive,0,Balance Sheet Stress,42.0,
CBRS,Cerebras Systems Inc.,3674,ok,0.593,,mixed,5,Capital Integrity,58.1,issuance_pressure;leverage_change;working_capital_swing_to_income;capex_to_da;fcf_margin
HUM,HUMANA INC,6324,excluded_financial,0.88,,,,,,
FANG,"Diamondback Energy, Inc.",1311,ok,0.778,30.8,positive,3,Revenue Quality,66.7,net_debt_to_ebitda;current_ratio;receivables_growth_spread
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,3674,ok,0.792,25.3,positive,1,Working Capital Stress,64.1,dio_trend
FER,,,error: Could not establish at least 2 quarter-end dates for FER; the filer may use cust,,,,,,,
MCHP,MICROCHIP TECHNOLOGY INCORPORATED,3674,ok,0.991,29.8,positive,4,Balance Sheet Stress,59.6,net_debt_to_ebitda;asset_quality_proxy;intangibles_to_assets;buyback_offset_ratio
ABEV,,,error: Could not establish at least 2 quarter-end dates for ABEV; the filer may use cus,,,,,,,
OXY,OCCIDENTAL PETROLEUM CORPORATION,1311,ok,0.731,45.1,negative,5,Cash Conversion,83.4,fcf_to_net_income;cfo_to_net_income;fcf_margin_trend;incremental_revenue_per_capex;accrual_trend
AXON,"Axon Enterprise, Inc.",3480,ok,0.907,50.8,negative,6,Cash Conversion,87.5,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;interest_coverage;fcf_margin_trend;fcf_margin
EXC,EXELON CORPORATION,4931,ok,0.694,41.0,mixed,5,Capex Discipline,54.3,fcf_to_net_income;net_debt_to_ebitda;incremental_revenue_per_capex;deferred_revenue_growth_spread;fcf_margin
CCEP,,,error: Could not establish at least 2 quarter-end dates for CCEP; the filer may use cus,,,,,,,
STT,STATE STREET CORPORATION,6022,excluded_financial,0.426,,,,,,
