ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
AZN,,,error: Could not establish at least 2 quarter-end dates for AZN; the filer may use cust,,,,,,,
KXIAY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002053383.,,,,,,,
PM,Philip Morris International Inc.,2111,ok,0.769,59.2,negative,8,Cash Conversion,87.7,cfo_to_net_income;dio_trend;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;debt_to_assets;fcf_margin;accrual_trend
DELL,Dell Technologies Inc.,3571,ok,0.972,33.7,mixed,2,Revenue Quality,57.8,deferred_revenue_growth_spread;net_debt_to_ebitda
TXN,TEXAS INSTRUMENTS INCORPORATED,3674,ok,0.88,33.4,mixed,2,Balance Sheet Stress,41.2,net_debt_to_ebitda;incremental_revenue_per_capex
IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,ok,0.88,29.6,positive,4,Balance Sheet Stress,67.0,asset_quality_proxy;inventory_growth_spread;intangibles_to_assets;current_ratio
WFC,WELLS        FARGO & COMPANY/MN,6021,excluded_financial,0.403,,,,,,
RTX,RTX CORPORATION,3724,ok,0.894,37.6,mixed,2,Balance Sheet Stress,58.7,net_debt_to_ebitda;buyback_offset_ratio
LIN,LINDE PLC,2810,ok,0.954,36.1,mixed,3,Balance Sheet Stress,51.1,net_debt_to_ebitda;incremental_revenue_per_capex;fcf_margin_trend
C,Citigroup Inc,6021,excluded_financial,0.519,,,,,,
MRVL,"MARVELL TECHNOLOGY, INC",3674,ok,0.917,27.8,positive,3,Balance Sheet Stress,40.9,working_capital_swing_to_income;asset_quality_proxy;intangibles_to_assets
AXP,AMERICAN EXPRESS CO,6199,excluded_financial,0.528,,,,,,
BABA,Alibaba Group Holding Limited,7389,ok,0.333,,mixed,0,Balance Sheet Stress,41.5,
MUFG,,,error: Could not establish at least 2 quarter-end dates for MUFG; the filer may use cus,,,,,,,
NVO,,,error: Could not establish at least 2 quarter-end dates for NVO; the filer may use cust,,,,,,,
SMTOY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0000095227.,,,,,,,
APH,AMPHENOL CORP /DE/,3678,ok,0.917,31.7,positive,2,Balance Sheet Stress,53.0,net_debt_to_ebitda;fcf_margin_trend
SHEL,,,error: Could not establish at least 2 quarter-end dates for SHEL; the filer may use cus,,,,,,,
ANET,"Arista Networks, Inc.",3576,ok,0.866,25.9,positive,2,Capex Discipline,43.1,accrual_trend;buyback_offset_ratio
BHP,,,error: Could not establish at least 2 quarter-end dates for BHP; the filer may use cust,,,,,,,
STX,Seagate Technology Holdings plc,3572,ok,0.88,23.7,positive,0,Capex Discipline,39.8,
WDC,WESTERN DIGITAL CORPORATION,3572,ok,0.875,45.2,negative,5,Earnings Quality,88.1,total_accruals;beneish_tata;cfo_to_net_income;accrual_trend;fcf_to_net_income
TD,,,error: Could not establish at least 2 quarter-end dates for TD; the filer may use custo,,,,,,,
TM,TOYOTA MOTOR CORP/,3711,ok,0.343,,mixed,0,Balance Sheet Stress,44.4,
RTNTF,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0000887028.,,,,,,,
SAN,,,error: Could not establish at least 2 quarter-end dates for SAN; the filer may use cust,,,,,,,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",7372,ok,0.833,28.0,positive,2,Capital Integrity,63.8,interest_coverage;sbc_to_revenue
AMGN,Amgen Inc.,2836,ok,0.88,40.1,mixed,5,Balance Sheet Stress,61.3,net_debt_to_ebitda;fcf_margin_trend;dso_trend;debt_to_assets;incremental_revenue_per_capex
PEP,"PepsiCo, Inc.",2080,ok,0.889,56.1,negative,8,Cash Conversion,85.4,cfo_to_net_income;sbc_to_cfo;fcf_to_net_income;fcf_margin_trend;receivables_growth_spread;beneish_dsri;inventory_growth_spread;dio_trend
QCOM,QUALCOMM INC/DE,3663,ok,0.944,55.9,negative,8,Earnings Quality,78.1,cfo_to_net_income;accrual_trend;fcf_margin_trend;incremental_revenue_per_capex;fcf_to_net_income;dio_trend;total_accruals;beneish_tata
ADI,"Analog Devices, Inc.",3674,ok,0.917,41.9,mixed,4,Revenue Quality,66.9,fcf_margin_trend;intangibles_to_assets;asset_quality_proxy;receivables_growth_spread
MCD,McDONALD’S CORPORATION,5812,ok,0.87,34.6,mixed,4,Balance Sheet Stress,54.5,net_debt_to_ebitda;capex_to_da;debt_to_assets;incremental_revenue_per_capex
TMO,THERMO FISHER SCIENTIFIC INC.,3829,ok,0.917,43.6,mixed,4,Cash Conversion,62.2,net_debt_to_ebitda;fcf_margin_trend;intangibles_to_assets;asset_quality_proxy
APP,AppLovin Corp,7370,ok,0.861,24.5,positive,0,Earnings Quality,29.0,
GLW,CORNING INC /NY,3357,ok,0.944,38.2,mixed,3,Cash Conversion,62.5,net_debt_to_ebitda;fcf_to_net_income;fcf_margin_trend
SAP,,,error: Could not establish at least 2 quarter-end dates for SAP; the filer may use cust,,,,,,,
TMUS,"T-Mobile US, Inc.",4812,ok,0.852,28.5,positive,2,Balance Sheet Stress,51.7,asset_quality_proxy;incremental_revenue_per_capex
NEE,"NEXTERA ENERGY, INC.",4911,ok,0.704,32.5,mixed,2,Balance Sheet Stress,61.7,net_debt_to_ebitda;current_ratio
VZ,VERIZON COMMUNICATIONS INC,4813,ok,0.815,29.5,positive,2,Balance Sheet Stress,60.7,net_debt_to_ebitda;current_ratio
BA,THE BOEING COMPANY,3721,ok,0.806,40.7,mixed,3,Cash Conversion,50.5,net_debt_to_ebitda;fcf_margin;receivables_growth_spread
DE,DEERE & CO,3523,ok,0.583,26.1,positive,0,Capex Discipline,32.2,
TJX,"THE TJX COMPANIES, INC.",5651,ok,0.806,44.3,mixed,2,Cash Conversion,59.8,fcf_to_net_income;receivables_growth_spread
SCHW,SCHWAB CHARLES CORP,6211,excluded_financial,0.495,,,,,,
